Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,360.000000,363.299988,357.149994,358.000000,351.156708,1230602
2020-04-20,364.250000,364.299988,352.450012,360.450012,353.559875,688269
2020-04-21,353.350006,356.750000,349.049988,350.000000,347.747528,661016
2020-04-22,353.000000,354.649994,347.799988,353.450012,351.175323,461394
2020-04-23,358.000000,358.000000,345.500000,348.649994,346.406219,457675
2020-04-24,344.000000,348.250000,340.850006,340.850006,338.656433,487270
2020-04-27,347.299988,350.950012,346.149994,350.950012,348.691437,416668
2020-04-28,350.549988,360.549988,348.350006,357.000000,354.702484,537054
2020-04-29,356.500000,359.799988,350.049988,359.799988,357.484436,542481
2020-04-30,361.600006,362.850006,351.399994,352.450012,350.181763,826049
2020-05-04,345.000000,345.799988,332.950012,338.549988,336.371216,935408
2020-05-05,342.000000,343.700012,336.799988,342.500000,340.295807,523195
2020-05-06,342.549988,344.000000,335.700012,336.399994,334.235046,451644
2020-05-07,339.250000,347.450012,338.500000,345.549988,343.326141,459323
2020-05-08,350.000000,354.399994,349.049988,352.250000,349.983063,388988
2020-05-11,355.000000,356.000000,345.899994,348.899994,346.654602,340324
2020-05-12,346.750000,350.549988,346.549988,346.850006,344.617798,355695
2020-05-13,343.500000,344.149994,333.200012,335.049988,332.893738,619814
2020-05-14,330.100006,333.200012,324.299988,331.000000,328.869812,727899
2020-05-15,333.750000,335.549988,327.700012,330.250000,328.124634,608567
2020-05-18,336.149994,351.500000,334.549988,350.049988,347.797180,768348
2020-05-19,355.000000,359.450012,349.950012,357.500000,355.199249,933641
2020-05-20,355.649994,361.750000,352.700012,361.750000,359.421906,515787
2020-05-21,356.549988,362.200012,355.100006,359.850006,357.534149,417304
2020-05-22,353.000000,357.799988,351.000000,355.299988,353.013397,449902
2020-05-25,357.700012,362.049988,352.799988,361.950012,359.620636,344725
2020-05-26,365.000000,371.500000,363.450012,365.399994,363.048401,571246
2020-05-27,367.899994,375.500000,363.149994,373.850006,371.444031,755724
2020-05-28,377.500000,387.299988,374.350006,386.799988,384.310699,744833
2020-05-29,386.000000,386.000000,375.000000,375.000000,372.586639,1158588
2020-06-01,383.350006,383.600006,375.450012,378.899994,376.461548,591268
2020-06-02,383.600006,386.700012,380.100006,384.950012,382.472626,885105
2020-06-03,388.000000,394.149994,383.549988,393.450012,390.917908,929648
2020-06-04,392.000000,395.850006,385.899994,390.049988,387.539764,880766
2020-06-05,392.399994,405.200012,392.000000,404.250000,401.648407,1094237
2020-06-08,401.000000,401.250000,394.500000,396.100006,393.550842,801805
2020-06-09,397.200012,399.350006,391.149994,395.299988,392.755981,831921
2020-06-10,397.299988,401.350006,396.600006,398.399994,395.836029,603868
2020-06-11,390.000000,390.649994,375.100006,375.100006,372.686005,894020
2020-06-12,373.200012,388.750000,371.000000,379.149994,376.709930,824496
2020-06-15,369.149994,375.000000,363.750000,371.450012,369.059509,595943
2020-06-16,377.600006,379.899994,370.500000,376.799988,374.375031,889962
2020-06-17,376.450012,380.200012,373.600006,379.149994,376.709930,677354
2020-06-18,379.850006,382.649994,374.200012,377.299988,374.871826,530513
2020-06-19,381.399994,387.649994,379.750000,380.049988,377.604126,1330873
2020-06-22,376.000000,383.350006,373.149994,378.899994,376.461548,404732
2020-06-23,383.200012,392.399994,381.799988,390.649994,388.135925,664637
2020-06-24,388.100006,389.049988,380.049988,381.350006,378.895782,595470
2020-06-25,381.399994,386.950012,373.250000,383.850006,381.379700,586397
2020-06-26,386.549988,393.799988,385.149994,387.700012,385.204926,533072
2020-06-29,387.049988,391.750000,383.899994,389.500000,386.993317,548762
2020-06-30,389.549988,393.450012,386.649994,390.500000,387.986877,552740
2020-07-01,391.350006,394.549988,384.049988,391.600006,389.079803,476216
2020-07-02,395.299988,403.950012,393.299988,401.850006,399.263855,586143
2020-07-03,402.500000,403.100006,394.649994,396.700012,394.147003,297283
2020-07-06,404.649994,405.299988,400.950012,404.000000,401.399994,500923
2020-07-07,399.899994,404.000000,396.750000,402.649994,402.649994,345700
2020-07-08,399.000000,402.649994,397.350006,399.799988,399.799988,352788
2020-07-09,402.000000,405.250000,398.600006,400.950012,400.950012,383571
2020-07-10,395.049988,401.049988,395.000000,400.700012,400.700012,418623
2020-07-13,405.000000,409.450012,399.850006,408.350006,408.350006,388756
2020-07-14,403.500000,404.649994,396.799988,404.649994,404.649994,443914
2020-07-15,407.200012,416.950012,406.850006,412.049988,412.049988,647890
2020-07-16,407.950012,411.049988,405.100006,408.149994,408.149994,379050
2020-07-17,409.799988,413.950012,408.250000,410.250000,410.250000,552764
2020-07-20,null,null,null,null,null,null
2020-07-21,414.549988,418.299988,408.850006,409.950012,409.950012,351889
2020-07-22,411.350006,411.600006,403.450012,404.000000,404.000000,396240
2020-07-23,406.500000,406.549988,401.299988,403.600006,403.600006,482134
2020-07-24,397.899994,399.600006,393.000000,399.100006,399.100006,480869
2020-07-27,400.000000,405.350006,399.250000,401.399994,401.399994,421074
2020-07-28,391.799988,391.950012,378.350006,385.049988,385.049988,916437
2020-07-29,383.000000,388.700012,382.600006,387.149994,387.149994,446203
2020-07-30,384.000000,385.299988,370.549988,373.850006,373.850006,713632
2020-07-31,373.350006,377.299988,365.950012,366.750000,366.750000,681171
2020-08-03,366.450012,375.750000,364.500000,372.299988,372.299988,456262
2020-08-04,374.250000,376.000000,368.799988,371.649994,371.649994,357667
2020-08-05,374.450012,376.100006,371.250000,376.100006,376.100006,313441
2020-08-06,375.700012,377.799988,369.750000,374.000000,374.000000,360618
2020-08-07,372.950012,376.950012,371.799988,374.000000,374.000000,350718
2020-08-10,376.000000,376.399994,370.549988,371.549988,371.549988,237955
2020-08-11,374.000000,386.250000,373.149994,382.700012,382.700012,490581
