Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,11.820000,11.855000,11.385000,11.700000,10.460999,5945454
2020-04-20,11.870000,11.945000,11.500000,11.665000,10.429705,3202777
2020-04-21,11.595000,12.120000,11.360000,11.695000,10.456528,3992454
2020-04-22,11.940000,12.535000,11.805000,12.380000,11.068989,3739466
2020-04-23,12.520000,12.755000,12.310000,12.400000,11.086870,2838545
2020-04-24,12.045000,12.710000,12.010000,12.385000,11.073459,2808265
2020-04-27,12.900000,12.940000,12.435000,12.590000,11.256750,2040355
2020-04-28,12.650000,13.175000,12.420000,13.000000,11.623332,2918786
2020-04-29,13.140000,13.760000,12.745000,13.680000,12.231322,3091181
2020-04-30,13.860000,14.080000,12.950000,13.075000,11.690390,3903586
2020-05-04,12.850000,12.935000,12.405000,12.570000,11.238868,3307976
2020-05-05,13.065000,13.200000,12.765000,13.015000,11.636744,2330639
2020-05-06,13.050000,13.440000,12.875000,13.070000,11.685919,1788940
2020-05-07,13.210000,13.310000,12.905000,12.940000,11.569685,2254492
2020-05-08,13.160000,13.515000,12.990000,13.425000,12.003325,1624936
2020-05-11,13.625000,13.700000,13.080000,13.140000,11.748507,1704953
2020-05-12,13.055000,13.135000,12.805000,12.815000,11.457923,2228358
2020-05-13,12.700000,12.700000,12.050000,12.050000,10.773934,2473082
2020-05-14,12.000000,12.010000,11.040000,11.420000,10.210650,4088269
2020-05-15,11.665000,11.800000,11.105000,11.515000,10.295590,3797024
2020-05-18,11.860000,12.305000,11.735000,12.270000,10.970637,3313142
2020-05-19,12.390000,12.470000,11.240000,11.580000,10.353706,8942178
2020-05-20,11.570000,11.650000,10.735000,11.615000,10.385000,5950917
2020-05-21,11.400000,11.765000,11.100000,11.390000,11.390000,4860918
2020-05-22,11.215000,11.875000,11.090000,11.525000,11.525000,4594074
2020-05-25,11.915000,12.240000,11.635000,12.240000,12.240000,3800953
2020-05-26,12.595000,13.030000,12.520000,12.945000,12.945000,8038569
2020-05-27,13.000000,14.120000,12.920000,13.580000,13.580000,10248828
2020-05-28,14.000000,14.190000,13.305000,13.430000,13.430000,6094580
2020-05-29,13.110000,13.245000,12.670000,12.805000,12.805000,8804390
2020-06-01,13.280000,13.480000,13.055000,13.395000,13.395000,4291150
2020-06-02,13.500000,14.060000,13.470000,13.605000,13.605000,5230587
2020-06-03,13.960000,14.415000,13.860000,14.415000,14.415000,6174613
